Disease,Symptoms
Fungal infection,"dischromic _patches, itching, skin_rash, nodal_skin_eruptions"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes"
GERD,"chest_pain, cough, acidity, stomach_pain, ulcers_on_tongue, vomiting"
Chronic cholestasis,"loss_of_appetite, yellowish_skin, abdominal_pain, nausea, yellowing_of_eyes, itching, vomiting"
Drug Reaction,"burning_micturition, skin_rash, spotting_ urination, stomach_pain, itching"
Peptic ulcer diseae,"loss_of_appetite, internal_itching, abdominal_pain, indigestion, passage_of_gases, vomiting"
AIDS,"muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
Diabetes,"weight_loss, irregular_sugar_level, obesity, lethargy, fatigue, excessive_hunger, restlessness, increased_appetite, blurred_and_distorted_vision, polyuria"
Gastroenteritis,"diarrhoea, sunken_eyes, dehydration, vomiting"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, mucoid_sputum, high_fever"
Hypertension,"loss_of_balance, chest_pain, lack_of_concentration, dizziness, headache"
Migraine,"visual_disturbances, excessive_hunger, indigestion, headache, acidity, blurred_and_distorted_vision, depression, irritability, stiff_neck"
Cervical spondylosis,"loss_of_balance, dizziness, neck_pain, weakness_in_limbs, back_pain"
Paralysis (brain hemorrhage),"headache, altered_sensorium, weakness_of_one_body_side, vomiting"
Jaundice,"weight_loss, yellowish_skin, high_fever, fatigue, abdominal_pain, dark_urine, itching, vomiting"
Malaria,"diarrhoea, nausea, headache, sweating, muscle_pain, chills, high_fever, vomiting"
Chicken pox,"swelled_lymph_nodes, loss_of_appetite, lethargy, high_fever, fatigue, red_spots_over_body, headache, mild_fever, skin_rash, malaise, itching"
Dengue,"pain_behind_the_eyes, loss_of_appetite, fatigue, nausea, red_spots_over_body, joint_pain, headache, back_pain, skin_rash, muscle_pain, chills, malaise, high_fever, vomiting"
Typhoid,"diarrhoea, abdominal_pain, fatigue, nausea, belly_pain, toxic_look_(typhos), headache, constipation, chills, high_fever, vomiting"
hepatitis A,"diarrhoea, loss_of_appetite, yellowish_skin, abdominal_pain, nausea, joint_pain, yellowing_of_eyes, mild_fever, muscle_pain, dark_urine, vomiting"
Hepatitis B,"loss_of_appetite, lethargy, yellowish_skin, fatigue, abdominal_pain, yellowing_of_eyes, receiving_unsterile_injections, malaise, dark_urine, yellow_urine, receiving_blood_transfusion, itching"
Hepatitis C,"loss_of_appetite, yellowish_skin, family_history, fatigue, nausea, yellowing_of_eyes"
Hepatitis D,"loss_of_appetite, yellowish_skin, abdominal_pain, fatigue, nausea, joint_pain, yellowing_of_eyes, dark_urine, vomiting"
Hepatitis E,"loss_of_appetite, stomach_bleeding, yellowish_skin, abdominal_pain, fatigue, nausea, joint_pain, yellowing_of_eyes, coma, dark_urine, high_fever, acute_liver_failure, vomiting"
Alcoholic hepatitis,"distention_of_abdomen, yellowish_skin, abdominal_pain, history_of_alcohol_consumption, swelling_of_stomach, fluid_overload, vomiting"
Tuberculosis,"weight_loss, chest_pain, breathlessness, swelled_lymph_nodes, loss_of_appetite, cough, phlegm, fatigue, yellowing_of_eyes, blood_in_sputum, mild_fever, sweating, malaise, chills, high_fever, vomiting"
Common Cold,"continuous_sneezing, runny_nose, swelled_lymph_nodes, sinus_pressure, chest_pain, cough, phlegm, fatigue, throat_irritation, headache, loss_of_smell, malaise, redness_of_eyes, chills, muscle_pain, congestion, high_fever"
Pneumonia,"chest_pain, breathlessness, rusty_sputum, cough, phlegm, fatigue, fast_heart_rate, sweating, malaise, chills, high_fever"
Dimorphic hemmorhoids(piles),"pain_during_bowel_movements, bloody_stool, irritation_in_anus, constipation, pain_in_anal_region"
Heart attack,"chest_pain, breathlessness, sweating, vomiting"
Varicose veins,"obesity, swollen_legs, cramps, fatigue, swollen_blood_vessels, bruising, prominent_veins_on_calf"
Hypothyroidism,"brittle_nails, mood_swings, irritability, cold_hands_and_feets, lethargy, fatigue, dizziness, enlarged_thyroid, depression, swollen_extremeties, abnormal_menstruation, weight_gain, puffy_face_and_eyes"
Hyperthyroidism,"weight_loss, diarrhoea, mood_swings, fatigue, excessive_hunger, muscle_weakness, restlessness, fast_heart_rate, sweating, irritability, abnormal_menstruation"
Hypoglycemia,"fatigue, excessive_hunger, nausea, slurred_speech, headache, blurred_and_distorted_vision, sweating, palpitations, irritability, anxiety, drying_and_tingling_lips, vomiting"
Osteoarthristis,"hip_joint_pain, joint_pain, neck_pain, knee_pain, painful_walking, swelling_joints"
Arthritis,"muscle_weakness, movement_stiffness, painful_walking, stiff_neck, swelling_joints"
(vertigo) Paroymsal  Positional Vertigo,"loss_of_balance, unsteadiness, nausea, headache, spinning_movements, vomiting"
Acne,"pus_filled_pimples, blackheads, scurring, skin_rash"
Urinary tract infection,"continuous_feel_of_urine, foul_smell_of urine, burning_micturition, bladder_discomfort"
Psoriasis,"small_dents_in_nails, skin_peeling, silver_like_dusting, inflammatory_nails, joint_pain, skin_rash"
Impetigo,"red_sore_around_nose, blister, skin_rash, yellow_crust_ooze, high_fever"
